Domain,Phylum,Class,Order,Family,Genus,Species
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,NA,f__Casimicrobiaceae,g__Casimicrobium,s__Casimicrobium huifangae
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,f__Celerinatantimonadaceae,g__Celerinatantimonas,s__Celerinatantimonas diazotrophica
d__Bacteria,p__Acidobacteriota,c__Blastocatellia,NA,NA,g__Chloracidobacterium,s__Chloracidobacterium aggregatum
d__Bacteria,p__Acidobacteriota,c__Blastocatellia,NA,NA,g__Chloracidobacterium,s__Chloracidobacterium sp. D
d__Bacteria,p__Acidobacteriota,c__Blastocatellia,NA,NA,g__Chloracidobacterium,s__Chloracidobacterium thermophilum
d__Bacteria,p__Acidobacteriota,c__Blastocatellia,NA,NA,g__Chloracidobacterium,s__Chloracidobacterium validum
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,NA,s__Coxiella-like endosymbiont
d__Bacteria,p__Cyanobacteriota,NA,NA,NA,NA,s__cyanobacterium endosymbiont of Epithemia turgida
d__Bacteria,p__Cyanobacteriota,NA,NA,NA,NA,s__cyanobacterium endosymbiont of Rhopalodia gibberula
d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,NA,NA,g__Dehalogenimonas,s__Dehalogenimonas formicexedens
d__Bacteria,p__Pseudomonadota,c__Deltaproteobacteria,NA,NA,g__Dissulfurimicrobium,s__Dissulfurimicrobium hydrothermale
d__Bacteria,p__Bacillota,NA,NA,NA,NA,s__endosymbiont 'TC1' of Trimyema compressum
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Holosporales,f__Holosporaceae,NA,s__endosymbiont of Acanthamoeba sp. UWC8
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,NA,s__endosymbiont of Euscepes postfasciatus
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Nardonella,s__endosymbiont of Pachyrhynchus infernalis
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Candidatus Nardonella,s__endosymbiont of Sipalinus gigas
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,NA,s__endosymbiont of unidentified scaly snail isolate Monju
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia bicoloricornis
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia cincticornis
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia cinerea
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia clavipes
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia crassipes
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia dentata
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia fulgens
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia marginata
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia piscatrix
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia provostii
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia proxima
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia semicuprea
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia simplex
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia sparganii
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia thalassina
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia tomentosa
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia versicolorea
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Donacia vulgaris
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Macroplea appendiculata
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Macroplea mutica
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Neohaemonia nigricornis
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Plateumaris braccata
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Plateumaris consimilis
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Plateumaris pusilla
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Plateumaris rustica
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,NA,s__Enterobacteriaceae endosymbiont of Plateumaris sericea
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium acetylicum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium alkaliphilum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium antarcticum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium aurantiacum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium marinum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium mexicanum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium profundum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium sibiricum
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium sp. AT1b
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium sp. Helios
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium sp. MH3
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium sp. N4-1P
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Exiguobacterium,s__Exiguobacterium sp. PFWT01
d__Bacteria,p__Bacillota,c__Tissierellia,NA,NA,g__Ezakiella,s__Ezakiella coagulans
d__Bacteria,p__Bacillota,c__Tissierellia,NA,NA,g__Ezakiella,s__Ezakiella massiliensis
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Fenollaria,s__Fenollaria massiliensis
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Fenollaria,s__Fenollaria sporofastidiosus
d__Bacteria,p__Bacillota,c__Clostridia,o__Eubacteriales,NA,g__Flintibacter,s__Flintibacter sp. KGMB00164
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Gallaecimonas,s__Gallaecimonas mangrovi
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Gemella,s__Gemella haemolysans
d__Bacteria,p__Bacillota,c__Bacilli,o__Bacillales,NA,g__Gemella,s__Gemella morbillorum
