Domain,Phylum,Class,Order,Family,Genus,Species
d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Hyphomicrobiales,NA,g__Terrihabitans,s__Terrihabitans soli
d__Bacteria,p__Chloroflexota,NA,NA,NA,g__Thermobaculum,s__Thermobaculum terrenum
d__Bacteria,p__Aquificota,c__Aquificae,o__Aquificales,NA,g__Thermosulfidibacter,s__Thermosulfidibacter takaii
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Chromatiales,NA,g__Thiohalobacter,s__Thiohalobacter sp. COW1
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Chromatiales,NA,g__Thiohalobacter,s__Thiohalobacter thiocyanaticus
d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,NA,NA,g__Thiolapillus,s__Thiolapillus brandeum
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Thiomonas,s__Thiomonas arsenitoxydans
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Thiomonas,s__Thiomonas intermedia
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Thiomonas,s__Thiomonas sp. CB2
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Thiomonas,s__Thiomonas sp. X19
d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,NA,g__Tomitella,s__Tomitella fengzijianii
d__Bacteria,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,NA,g__Tomitella,s__Tomitella gaofuii
d__Bacteria,NA,NA,NA,NA,NA,s__unidentified bacterial endosymbiont
d__Bacteria,p__Mycoplasmatota,c__Mollicutes,o__Entomoplasmatales,NA,g__Williamsoniiplasma,s__Williamsoniiplasma luminosum
d__Bacteria,p__Mycoplasmatota,c__Mollicutes,o__Entomoplasmatales,NA,g__Williamsoniiplasma,s__Williamsoniiplasma somnilux
d__Bacteria,p__Pseudomonadota,c__Betaproteobacteria,o__Burkholderiales,NA,g__Xylophilus,s__Xylophilus rhododendri
